Categoría,Producto,Empresa,Especificaciones
SUPLEMENTOS,Alimento nutraceutico mega antioxidante,Altitud H,7g
SUPLEMENTOS,Advanced acidophilus,Solgar,100 cápsulas vegetales
SUPLEMENTOS,Calcium citrate vitamin d3,Solgar,240 tabletas
SUPLEMENTOS,Cal/mag/zinc,Solgar,100 tabletas
SUPLEMENTOS,Omega-3 fish oil concentrate,Solgar,240 cápsulas softgel
SUPLEMENTOS,Triple strength omega-3 950mg,Solgar,100 cápsulas
SUPLEMENTOS,Bcaa plus,Solgar,100 cápsulas softgel
SUPLEMENTOS,Vitamin d3 400 iu,Solgar,180 cápsulas
SUPLEMENTOS,Chromium picolinate,Solgar,180 cápsulas
SUPLEMENTOS,L-arginine 500mg,Sundown,90 cápsulas
SUPLEMENTOS,Extra strength fish oil 1200mg,Sundown,100 cápsulas softgel
SUPLEMENTOS,Fish oil 1000mg 300mg omega 3,Sundown,200 cápsulas softgel
SUPLEMENTOS,Cranberry concentrate for her 8400mg,Sundown,150 cápsulas softgel
SUPLEMENTOS,Ácido Fólico,Dulzura Natural,7.8g
SUPLEMENTOS,KINDERVITAL,FLORADIX,250 ml
SUPLEMENTOS,SALUDYNAM,FLORADIX,250 ml
SUPLEMENTOS,VITAMINA B-KOMPLEX,FLORADIX,250 ml
SUPLEMENTOS,MAGNESIO,FLORADIX,250 ml
SUPLEMENTOS,FLORAVITAL,FLORADIX,250 ml
SUPLEMENTOS,ISOFIT Chocolate Shake,Isofit,
SUPLEMENTOS,ISOFIT Vanilla Bean Ice Cream,Isofit,
SNACKS,Cubits chocolate blanco frambuesa,El Almendro,100g
SNACKS,Cubits chocolate leche,El Almendro,100g
SNACKS,Doypack crutones ajo y hierbas,Inka Chips,113g
SNACKS,Doypack crutones salados,Inka Chips,113g
SNACKS,Mezcla de hojuelas fritas,Inka Chips,142g
SNACKS,Snack alcachofa,Poshi,45g
SNACKS,Snack coliflor,Poshi,45g
SNACKS,Snack de kale con sal,Simply,100g
FIAMBRES Y EMBUTIDOS,Salchichón cerveza,Llanquihue,180g
SUPLEMENTOS,Multivitamínico para hombre,Múltiple,90 u
SUPLEMENTOS,Multivitamínico para seniors,Múltiple,90 u
SUPLEMENTOS,Vitamina B3,Dulzura Natural,6.6g
SUPLEMENTOS,Vitamina E,Dulzura Natural,24g
FIAMBRES Y EMBUTIDOS,Salame contadino,Simonini,200g
FIAMBRES Y EMBUTIDOS,Guanciale al pepe,Simonini,300g
FIAMBRES Y EMBUTIDOS,Salame napoli dolce,Simonini,2500 g.
FIAMBRES Y EMBUTIDOS,Spianata romana,Simonini,100g
FIAMBRES Y EMBUTIDOS,Antipasto,Simonini,120g
MISCELÁNEOS,Prefect Nutrition Protein Soup Veggies,YourGoal,25g
SNACKS,Snack garbanzo salados,Simply,142g
SNACKS,Snack lenteja jalapeño,Simply,113g
SNACKS,Snack lenteja salada,Simply,113g
SNACKS,Snack quinoa bbq,Simply,99g
SNACKS,Snack quinoa cheddar,Simply,99g
SNACKS,Camote Morado,Tasty Snax,
SNACKS,Prefect Nutrition Almonds and dark chocolate,YourGoal,35g
SNACKS,Prefect Nutrition Peanuts and dark chocolate,YourGoal,35g
,Twenty's Chocolate Fudge,Twenty’s TWENTY`S HAZELNUT PRALINE,60g
,Twenty's Chocolate Brownie,YourGoal,60g
,Twenty's Lemon Cheesecake,YourGoal,60g
SUPLEMENTOS,Alimento nutraceutico mega antioxidante,Altitudh,7g
SNACKS,Barrita de proteína clásica,Fitkery,85g
SNACKS,Barrita de proteína blondie,Fitkery,85g
SNACKS,Origins Almendra & Coco,YourGoal,50g
SNACKS,Origins Avellana & Cacao,YourGoal,50g
,Twenty’s Mini Lemon Cheesecake,YourGoal,25g
,Twenty’s Mini Chocolate Fudge,YourGoal,25g
,Twenty’s Mini Chocolate Brownie,YourGoal,25g
SNACKS,Perfect Nutrition Protein Chips Sour Cream & Onion Flavour,YourGoal,30g
SNACKS,Protein Snack Berries & White Glaze,YourGoal,42g
SNACKS,galletón redondo natural,Saniito,90g
SUPLEMENTOS,Multivitamínico CR,Múltiple,90 u
SUPLEMENTOS,Multivitamínico ER,Múltiple,90 u
SUPLEMENTOS,Iso 100 -0 carb whey chocolate,Dymatize,5lb
SUPLEMENTOS,BCAA 2044mg 90 Cápsulas,Integralmedica,90 cápsulas
SUPLEMENTOS,Booster drink apple dream,Integralmedica,269ml
SUPLEMENTOS,Booster drink energy drink,Integralmedica,269ml
SUPLEMENTOS,Booster drink red lemonade,Integralmedica,269ml
SUPLEMENTOS,Energy gel melancia sin cafeína,Integralmedica,caja 10 u
SUPLEMENTOS,Energy gel frutos rojos sin cafeína,Integralmedica,caja 10 u
SUPLEMENTOS,Energy gel guarana-acai con cafeína,Integralmedica,caja 10 u
SUPLEMENTOS,Energy gel mandarina con cafeína,Integralmedica,caja 10 u
SUPLEMENTOS,Crisp bar cheescake frutos rojos,Integralmedica,caja 12 u
SUPLEMENTOS,Crisp bar coco,Integralmedica,caja 12 u
SUPLEMENTOS,Crisp bar limon,Integralmedica,caja 12 u
SUPLEMENTOS,Crisp bar trufa,Integralmedica,caja 12 u
SUPLEMENTOS,Whey bar chocolate,Integralmedica,caja 24 u
SUPLEMENTOS,Bcaa energy drink guarana,Integralmedica,269ml
SUPLEMENTOS,My whey protein rtd banana,Integralmedica,250ml
SUPLEMENTOS,My whey protein rtd coco,Integralmedica,250ml
SUPLEMENTOS,My whey protein rtd morango,Integralmedica,250ml
SUPLEMENTOS,My whey protein rtd chocolate,Integralmedica,250ml
SUPLEMENTOS,Creatina,Integralmedica,300g
SUPLEMENTOS,Crisp bar churro com doce de leite,Integralmedica,45g
SUPLEMENTOS,Crisp bar leite niño com creme de avela,Integralmedica,45g
SUPLEMENTOS,Iso triple zero chocolate,Integralmedica,2lb
SUPLEMENTOS,L-carnitina,Integralmedica,480ml
SUPLEMENTOS,Maltodextrin pouch guarana,Integralmedica,1Kg
SUPLEMENTOS,Maltodextrin pouch laranja,Integralmedica,1Kg
SUPLEMENTOS,Nutriwhey chocolate,Integralmedica,900g
SUPLEMENTOS,Nutriwhey protein baunilha,Integralmedica,1.8Kg
SUPLEMENTOS,Nutriwhey protein baunilha,Integralmedica,900g
SUPLEMENTOS,Nutriwhey protein chocolate,Integralmedica,1.8Kg
SUPLEMENTOS,Sinister mass chocolate pouch,Integralmedica,3Kg
SUPLEMENTOS,Sinister mass vainilla pouch,Integralmedica,3Kg
SUPLEMENTOS,Whey 100% pure pouch chocolate,Integralmedica,1.8Kg
SUPLEMENTOS,Whey 100% pure pouch vainilla,Integralmedica,1.8Kg
SUPLEMENTOS,Whey 100% pure pouch chocolate,Integralmedica,900g
SUPLEMENTOS,Carnivor chocolate,Musclemeds,4lb
SUPLEMENTOS,Quest peanut butter choco chip protein cookies,Quest,caja 12 u
SUPLEMENTOS,Quest bar blueberry muffin,Quest,caja 12 u
SUPLEMENTOS,Protein cookies double chocolate chip,Quest,caja 12 u
SUPLEMENTOS,Quest rtd protein chocolate,Quest,caja 4 u
SUPLEMENTOS,Quest rtd protein vainilla,Quest,caja 4 u
SUPLEMENTOS,Quest bar cookies and cream,Quest,caja 12 u
SUPLEMENTOS,Quest bar chocolate chip cookie dough,Quest,caja 12 u
SUPLEMENTOS,Protein cookies chocolate chip,Quest,caja 12 u
SUPLEMENTOS,Quest bar caramel chocolate chunk,Quest,caja 12 u
SUPLEMENTOS,Quest hero bar cookies & cream,Quest,caja 12 u
SUPLEMENTOS,Gentle iron 25mg,Solgar,90 cápsulas
SUPLEMENTOS,Chlorella,Solgar,100 cápsulas vegetales
SUPLEMENTOS,Advanced acidophilus,Solgar,100 cápsulas vegetales
SUPLEMENTOS,Calcium citrate vitamin d3,Solgar,240 tabletas
SUPLEMENTOS,Cal/mag/zinc,Solgar,100 tabletas
SUPLEMENTOS,Omega-3 fish oil concentrate,Solgar,240 cápsulas softgel
SUPLEMENTOS,Triple strength omega-3 950mg,Solgar,100 cápsulas
SUPLEMENTOS,Bcaa plus,Solgar,100 cápsulas softgel
SUPLEMENTOS,Vitamin d3 400 iu,Solgar,180 cápsulas
SUPLEMENTOS,Chromium picolinate,Solgar,180 cápsulas
SUPLEMENTOS,Triple strength omega-3 950mg,Solgar,100 cápsulas soft gel
SUPLEMENTOS,Advanced acidophilus plus,Solgar,120 cápsulas
SUPLEMENTOS,Taurine 500 mg,Solgar,100 cápsulas vegetales
SUPLEMENTOS,Omega-3 fish oil concentrate,Solgar,120 cápsulas softgel
SUPLEMENTOS,Vegan matrix chocolate,Sportlab,120 cápsulas softgel
SUPLEMENTOS,Vegan matrix vainilla,Sportlab,2lb
SUPLEMENTOS,L-arginine 500mg,Sundown,90 cápsulas
SUPLEMENTOS,Extra strength fish oil 1200mg,Sundown,100 cápsulas softgel
SUPLEMENTOS,Fish oil 1000mg 300mg omega 3,Sundown,200 cápsulas softgel
SUPLEMENTOS,Cranberry concentrate for her 8400mg,Sundown,150 cápsulas softgel
SUPLEMENTOS,L-arginine 500mg,Sundown,90 cápsulas
SUPLEMENTOS,Magnesium 250mg,Sundown,100 cápsulas
SUPLEMENTOS,Super cranberry 8400mg plus vit d3 1000iu,Sundown,150 cápsulas
SUPLEMENTOS,Vit d 400iu,Sundown,100 cápsulas softgel
SUPLEMENTOS,Vit e400 dl alpha,Sundown,100 cápsulas softgel
SUPLEMENTOS,Fish oil 1000mg,Sundown,72 cápsulas softgel
BEBIDAS,Jugo de Mandarina,Sofruco,3lt 1lt 340ml y 250ml
SUPLEMENTOS,Vitamina B6,Dulzura Natural,5.4g
PAN Y PASTAS,Baguetin D'linaza,Dilici,400g
SUPLEMENTOS,Extra strength fish oil 1200mg,Sundown,200 cápsulas softgel
SUPLEMENTOS,Calcium 600+d,Sundown,120 tabletas
SUPLEMENTOS,Calcium 1200 plus d,Sundown,60 cápsulas softgel
SUPLEMENTOS,L-lysine 500mg,Sundown,100 tabletas
,Twenty’s Hazelnut praline,YourGoal,60g
,,,
CÁRNICOS,Hamburguesa Angus,La Preferida,100g
CÁRNICOS,Bolsa Hamburguesa de 10 unidades,San Jorge,900g
CÁRNICOS,Caja Hamburguesa de Vacuno de 10 unidades,La Preferida,100g
CÁRNICOS,Hamburguesa,Winter,50g
CÁRNICOS,Hamburguesa,San Jorge,90g
CÁRNICOS,Hamburguesa,San Jorge,55g
CÁRNICOS,Hamburguesa de Vacuno,La Preferida,100g
CÁRNICOS,Hamburguesa bronto,San jorge,185g
CÁRNICOS,Hamburguesa angus,La preferida,185g
CÁRNICOS,Hamburguesa,Winter,100g
FIAMBRES Y EMBUTIDOS,Longanicilla parrillera de campo,La Preferida,250g
FIAMBRES Y EMBUTIDOS,Longanicilla parrillera con carne angus,La Preferida,250g
FIAMBRES Y EMBUTIDOS,Jamón Colonial corte pluma,La Preferida,125g
FIAMBRES Y EMBUTIDOS,Jamón Acaramelado corte pluma,La Preferida,125g
FIAMBRES Y EMBUTIDOS,Queso cabeza,La Preferida,3Kg
FIAMBRES Y EMBUTIDOS,Salchicha tradicional,Winter,250g
FIAMBRES Y EMBUTIDOS,Jamón centenario Acaramelado,La Preferida,3.95Kg
FIAMBRES Y EMBUTIDOS,Tocino Trozo,La Preferida,1Kg
FIAMBRES Y EMBUTIDOS,Tocino Parrillero,La Preferida,180g
FIAMBRES Y EMBUTIDOS,Prieta,La Preferida,400g
FIAMBRES Y EMBUTIDOS,Jamón Pierna,La Preferida,1/2 pieza
FIAMBRES Y EMBUTIDOS,Chorizo Angus,La Preferida,250g 500g y 1Kg
FIAMBRES Y EMBUTIDOS,Longaniza Angus,La Preferida,500g
FIAMBRES Y EMBUTIDOS,Molida,San Jorge,250g
FIAMBRES Y EMBUTIDOS,Coppa Molde,Winter,3.10Kg
FIAMBRES Y EMBUTIDOS,Jamón pierna artesanal mini pieza,Winter,3Kg
FIAMBRES Y EMBUTIDOS,Tocino Ahumado,La Preferida,500g
FIAMBRES Y EMBUTIDOS,Pechuga de pavo cocida corte pluma,La Preferida,125g y 250g
FIAMBRES Y EMBUTIDOS,Jamon acaramelado,San Jorge,200g
FIAMBRES Y EMBUTIDOS,Jamon Centenario Colonial,La Preferida,4Kg
FIAMBRES Y EMBUTIDOS,Longaniza Centenario artesanal,La Preferida,500g
FIAMBRES Y EMBUTIDOS,Pasta de salame,La Preferida,125g
FIAMBRES Y EMBUTIDOS,Pechuga de pavo acaramelada,La Preferida,125g 2.4Kg
FIAMBRES Y EMBUTIDOS,Pechuga de pavo cocida,La Preferida,250g
FIAMBRES Y EMBUTIDOS,Salame ahumado,San Jorge,1.6 Kg
FIAMBRES Y EMBUTIDOS,Salame italiano,San Jorge,1.6 Kg
FIAMBRES Y EMBUTIDOS,Jamón pierna mini pieza,La Preferida,3.5Kg
FIAMBRES Y EMBUTIDOS,Jamón de pavo acaramelado,La Preferida,3Kg
FIAMBRES Y EMBUTIDOS,Pasta jamón,San Jorge,125g
FIAMBRES Y EMBUTIDOS,Pate salchichón te,La Preferida,160g
FIAMBRES Y EMBUTIDOS,Salchicha tradicional,San Jorge,250g
FIAMBRES Y EMBUTIDOS,Vienesa 17cm calibre 28,San Jorge,2.28Kg
FIAMBRES Y EMBUTIDOS,Salchicha sureña,Winter,1Kg
FIAMBRES Y EMBUTIDOS,Salchicha conveniete,Winter,1Kg
FIAMBRES Y EMBUTIDOS,Chorizo parrillero,San Jorge,250g
FIAMBRES Y EMBUTIDOS,Chorizo,Winter,1Kg
FIAMBRES Y EMBUTIDOS,Chorizo angus merkén,La Preferida,500g
FIAMBRES Y EMBUTIDOS,Chorizo de campo,Winter,400g
FIAMBRES Y EMBUTIDOS,Jamon artesanal,San Jorge,200g
FIAMBRES Y EMBUTIDOS,Jamon Centenario Colonial mini pieza,La Preferida,3Kg
FIAMBRES Y EMBUTIDOS,Salchicha de pavo,San Jorge,250g
FIAMBRES Y EMBUTIDOS,Salchicha de pollo,San Jorge,250g y 1Kg
FIAMBRES Y EMBUTIDOS,Fiambre sándwich,San Jorge,250g
FIAMBRES Y EMBUTIDOS,Jamón de pavo ahumado,San Jorge,500g
FIAMBRES Y EMBUTIDOS,Vienesa 22 cm/calibre 28,San Jorge,2079Kg
FIAMBRES Y EMBUTIDOS,Jamón colonial,San Jorge,5.8 Kg aprox.
FIAMBRES Y EMBUTIDOS,Pechuga de pavo acaramelada corte pluma,La Preferida,125g
FIAMBRES Y EMBUTIDOS,Pasta pollo ciboulette,La Preferida,125g
FIAMBRES Y EMBUTIDOS,Tocino,La Preferida,100g y 180g
FIAMBRES Y EMBUTIDOS,Chorizo parrillero tipo argentino,La Preferida,500g
FIAMBRES Y EMBUTIDOS,Mix Parrillero,La Preferida,500g
FIAMBRES Y EMBUTIDOS,Jamón planchado,San Jorge,500g
FIAMBRES Y EMBUTIDOS,Bologna,Winter,3 Kg
FIAMBRES Y EMBUTIDOS,Queso cabeza,Winter,3 Kg aprox.
FIAMBRES Y EMBUTIDOS,Salchichón Cerveza,Winter,250g
FIAMBRES Y EMBUTIDOS,Paté sabor ave,San jorge,125g
FIAMBRES Y EMBUTIDOS,Paté sabor ternera,San jorge,125g
FIAMBRES Y EMBUTIDOS,Salame ahumado,San jorge,100g
FIAMBRES Y EMBUTIDOS,Vienesa 14 cm calibre 28,San jorge,960g
FIAMBRES Y EMBUTIDOS,Salame,La preferida,100g y 500g
FIAMBRES Y EMBUTIDOS,Salame pieza,La preferida,840g
FIAMBRES Y EMBUTIDOS,Salchicha sureña,La preferida,250g y 500g
FIAMBRES Y EMBUTIDOS,Salchicha con carne angus,La preferida,500g
FIAMBRES Y EMBUTIDOS,Arrollado huaso,San jorge,1.5Kg
FIAMBRES Y EMBUTIDOS,Jamón acaramelado,San jorge,3Kg
FIAMBRES Y EMBUTIDOS,Chorizo parrillero,San jorge,1Kg
FIAMBRES Y EMBUTIDOS,Jamón de pavo cocido,La preferida,3Kg
FIAMBRES Y EMBUTIDOS,Jamón sandwich,La preferida,3.5Kg
FIAMBRES Y EMBUTIDOS,Jamón centenario acaramelado mini pieza,La preferida,3Kg
FIAMBRES Y EMBUTIDOS,Longaniza,Winter,1Kg
FIAMBRES Y EMBUTIDOS,Salchicha tradicional,Winter,1Kg
FIAMBRES Y EMBUTIDOS,Jamón ahumado,Winter,5Kg
,Maní confitado,Sembrasol,100g 180g y 1000g
,Súper Mix,Sembrasol,150g 80g
,Almendra de selección,Sembrasol,50g
,Maní tostado con cáscara,Sembrasol,90g 500g
,Maní tostado sin sal y sin cáscara,Sembrasol,100g 150g 400g
,Maravillas tostadas saladas con cáscara,Sembrasol,25g 50g 85g 100g 110g 200g 300g 400g
,Nueces,Sembrasol,50g
,Pistachos tostados y salados,Sembrasol,40g
,Charqui,Sembrasol,20g 40g y 60g
,Chía,Sembrasol,1000g
,Almendra tostada y salada,Sembrasol,60g
,Maní Merkén,Sembrasol,100g 1000g
,Maní tostado con sal,Sembrasol,120g 150g 400g
,Maravillas confitadas,Sembrasol,120g
,Energy Mix,Sembrasol,150g 300g
,Semilla de zapallo,Sembrasol,1000g
,Quínoa,Sembrasol,1000g
,Mix Gourmet,Sembrasol,300g
,Mix Nuts,Sembrasol,80g 300g 700g
,Maní miel,Sembrasol,90g
,Castaña de cajú tostada y salada,Sembrasol,60g
,Fancy mix,Sembrasol,700g
LÁCTEOS,Queso gauda,Los Nogales,1 Kg
LÁCTEOS,Queso mantecoso,Los Nogales,1 Kg
LÁCTEOS,Mantequilla con sal,Los nogales,125g
LÁCTEOS,Queso gauda,Los nogales,250g
LÁCTEOS,Queso mantecoso,Los nogales,250g
PAN Y PASTAS,Molde Blanco,Zeroglut,1 unidad x 480g
PAN Y PASTAS,Molde Integral,Zeroglut,1 unidad x 480g
PAN Y PASTAS,Molde Multisemilla,Zeroglut,1 unidad x 480g
PASTELERIA Y HELADERIA,Magdalenas Vainilla,Zeroglut,6 unidades x 35g
PASTELERIA Y HELADERIA,Magdalenas Chips Chocolate,Zeroglut,6 unidades x 35g
PASTELERIA Y HELADERIA,Queque Vainilla,Zeroglut,1 unidad x 210g
PASTELERIA Y HELADERIA,Queque Chocolate,Zeroglut,1 unidad x 210g
PREMEZCLAS HARINAS Y CEREALES,Muffin keto chocolate,PyM,120g
PREMEZCLAS HARINAS Y CEREALES,Masa pizza,PyM,500g
PREMEZCLAS HARINAS Y CEREALES,Brownie de legumbres,PyM,280g
PREMEZCLAS HARINAS Y CEREALES,Avena instantánea,Agropel,25kg
PREMEZCLAS HARINAS Y CEREALES,Avena hojuela entera,Agropel,25kg
FIAMBRES Y EMBUTIDOS,Salchicha tradicional,San Jorge,1Kg
FIAMBRES Y EMBUTIDOS,Chorizo Centenario Artesanal,La Preferida,500g
FIAMBRES Y EMBUTIDOS,Jamón Pierna Artesanal,Winter,200g y 4.90Kg
FIAMBRES Y EMBUTIDOS,Jamón Pierna corte pluma,La Preferida,125g y 250g
FIAMBRES Y EMBUTIDOS,Jamon Praga ahumado mini pieza,San Jorge,4.8Kg
FIAMBRES Y EMBUTIDOS,Longaniza parrillera angus,La Preferida,250g
FIAMBRES Y EMBUTIDOS,Salame italiano,San Jorge,80g y 100g
FIAMBRES Y EMBUTIDOS,Salchicha Bronto,San Jorge,950g
FIAMBRES Y EMBUTIDOS,Jamon artesanal,San Jorge,4.2Kg
FIAMBRES Y EMBUTIDOS,Arrollado lomo con ají,San Jorge,4Kg aprox.
FIAMBRES Y EMBUTIDOS,Arrollado lomo,San Jorge,3.2 Kg aprox.
FIAMBRES Y EMBUTIDOS,Mini mortadela jamonada,San Jorge,400g
FIAMBRES Y EMBUTIDOS,Jamón colonial,San Jorge,200g
FIAMBRES Y EMBUTIDOS,Chorizo sureño,San Jorge,400g
FIAMBRES Y EMBUTIDOS,Pechuga de pavo cocida,La Preferida,2.5 Kg aprox.
FIAMBRES Y EMBUTIDOS,Pechuga de pavo ahumada,La Preferida,2.5 Kg aprox.
FIAMBRES Y EMBUTIDOS,Jamón acaramelado,Winter,200g
FIAMBRES Y EMBUTIDOS,Jamón pierna,San jorge,500g
FIAMBRES Y EMBUTIDOS,Paté sabor ternera,La preferida,160g
FIAMBRES Y EMBUTIDOS,Vienesas sin piel,La preferida,760g
FIAMBRES Y EMBUTIDOS,Pepperoni,La preferida,100g
FIAMBRES Y EMBUTIDOS,Fiambre sándwich,San jorge,3.5Kg
FIAMBRES Y EMBUTIDOS,Salchicha de pavo,San jorge,1Kg
FIAMBRES Y EMBUTIDOS,Pechuga de pollo cocida,San jorge,3Kg
,Linaza,Sembrasol,1000g
FIAMBRES Y EMBUTIDOS,Longaniza tradicional,San jorge,1Kg
FIAMBRES Y EMBUTIDOS,Jamón pierna,La preferida,6.5Kg
CÁRNICOS,Caja hamburguesa con carne angus,La preferida,10 x 100g